x_mean,x_min,x_max,x_amp,relative_amp_x,y_mean,y_min,y_max,y_amp,relative_amp_y,z_mean,z_min,z_max,z_amp,relative_amp_z,k_fear,alpha_mem,class
58.727265796366794,1.1952459975812342,96.35308835229588,95.15784235471465,1.620334968167376,9.56287654644326,1.2302267020824738,26.62344388456439,25.39321718248192,2.6553952734989363,9.569358090287485,1.2303870401056272,26.621541320461183,25.391154280355558,2.653381140175317,0.0,10.0,oscillatory_coexistence
30.000000000016705,29.99999998638943,30.00000001356726,2.7177829764468697e-08,9.059276588150886e-10,5.000000000003121,4.9999999999459925,5.000000000114664,1.6867129914999168e-10,3.373425982997053e-11,5.0000000001039835,4.999999822797727,5.000000177228956,3.544312292547147e-07,7.088624584945457e-08,0.2,10.0,stable_coexistence
29.999999999986805,29.999999986812508,30.0000000131856,2.637309037822888e-08,8.791030126079868e-10,3.291561975888511,3.291561975877641,3.2915619758993504,2.170930102352031e-11,6.595440457308599e-12,3.2915619757718164,3.291561859101942,3.291562092658479,2.335565367772574e-07,7.095614133846632e-08,0.4,10.0,stable_coexistence
30.000000000024084,29.99999998707015,30.00000001293212,2.586196856668721e-08,8.62065618888853e-10,2.4999999999999845,2.4999999999919176,2.5000000000080798,1.616218270328318e-11,6.4648730813107255e-12,2.5000000001653557,2.4999999112078095,2.500000088807364,1.7759955461826848e-07,7.103982184258023e-08,0.6000000000000001,10.0,stable_coexistence
29.999999999987676,29.999999987270975,30.000000012730816,2.545984045809746e-08,8.486613486035691e-10,2.0293442287247547,2.0293442287182906,2.0293442287312056,1.2915002400859521e-11,6.364126015707536e-12,2.0293442286548586,2.0293441565813515,2.0293443008784364,1.4429708494745341e-07,7.110527770984864e-08,0.8,10.0,stable_coexistence
29.999999999982798,29.99999998742623,30.00000001257534,2.514911301432221e-08,8.383037671445264e-10,1.7134302209382888,1.713430220932893,1.7134302209436665,1.0773382186357594e-11,6.287610697359891e-12,1.713430220854867,1.713430159980366,1.7134302819040321,1.2192366605212612e-07,7.115764888938671e-08,1.0,10.0,stable_coexistence
30.000000000015092,29.999999987544868,30.00000001245635,2.4911482654488282e-08,8.30382755149164e-10,1.4852749859377172,1.4852749859330974,1.4852749859423486,9.251266419596504e-12,6.228655640995366e-12,1.4852749860017953,1.485274933049586,1.4852750388311518,1.0578156572904618e-07,7.1220189342667e-08,1.2000000000000002,10.0,stable_coexistence
29.999999999984734,29.999999987636755,30.00000001236409,2.4727334846375015e-08,8.242444948795592e-10,1.3121396091048323,1.3121396091007702,1.312139609108882,8.111733507121244e-12,6.182065879902099e-12,1.31213960904705,1.3121395623334156,1.312139655879347,9.354593144550449e-08,7.129266642089368e-08,1.4000000000000001,10.0,stable_coexistence
29.99999999997411,29.99999998771284,30.000000012286346,2.4573505896796632e-08,8.19116863227234e-10,1.1759545669500733,1.1759545669464537,1.1759545669536773,7.2235550874211185e-12,6.142716130734378e-12,1.1759545668616738,1.175954524998843,1.1759546088984874,8.389964434307728e-08,7.134599133954037e-08,1.6,10.0,stable_coexistence
30.000000000006505,29.999999987774654,30.00000001222535,2.4450695690347857e-08,8.150231896780581e-10,1.0658668946922893,1.0658668946890335,1.0658668946955492,6.515676886920119e-12,6.113030547585447e-12,1.065866894712514,1.065866856636572,1.0658669327480477,7.611147556652043e-08,7.140804911384158e-08,1.8,10.0,stable_coexistence
