k_fear,alpha_mem,stable_theory,A1,A2,A3,rh_margin
0.0,0.01,False,-0.10250000000000005,0.025125000000000005,0.00026250000000000004,-0.002837812500000002
0.2,0.01,True,0.08499999999999994,0.008250000000000002,0.00016875000000000006,0.0005324999999999996
0.4,0.01,True,0.11062657036167244,0.005943608667449475,0.00014137217334898953,0.000516148869102856
0.6000000000000001,0.01,True,0.12249999999999991,0.004874999999999999,0.0001275,0.0004696874999999995
0.8,0.01,True,0.12955983656912876,0.004239614708778412,0.00011889528600402465,0.00043038850278138085
1.0,0.01,True,0.13429854668592575,0.0038131307982666807,0.00011297052876648918,0.00039912739576407
1.2000000000000002,0.01,True,0.13772087521093415,0.003505121231015928,0.00010861714963438082,0.0003741112140215597
1.4000000000000001,0.01,True,0.14031790586342752,0.003271388472291517,0.00010527190557893232,0.00035376247411877075
1.6,0.01,True,0.14236068149574904,0.0030875386653825905,0.00010261532441983296,0.00033692878412850807
1.8,0.01,True,0.1440119965796156,0.002938920307834594,0.00010045156144621751,0.00032278821987342086
2.0,0.01,True,0.14537594221700342,0.002816165200469684,9.865337938675398e-05,0.00031074929007026265
2.2,0.01,True,0.14652237061502862,0.0027129866446474237,9.713429048872352e-05,0.00030037894413192923
2.4000000000000004,0.01,True,0.14749999999999996,0.0026249999999999997,9.583333333333335e-05,0.00029135416666666654
2.6,0.01,True,0.14834389697033826,0.002549049272669552,9.470623827395814e-05,0.00028342966440324957
2.8000000000000003,0.01,True,0.1490799742299717,0.0024828023193025567,9.372004417719148e-05,0.0002764160616025477
3.0,0.01,True,0.1497278115386074,0.0024244969615253367,9.2849682897186e-05,0.00027016494123400587
3.2,0.01,True,0.15030248929218687,0.002372775963703181,9.207573708712995e-05,0.00026455839679012585
3.4000000000000004,0.01,True,0.15081581717737366,0.002326576454036368,9.138292471402504e-05,0.0002595016044271061
3.6,0.01,True,0.15127717941903718,0.0022850538522866557,9.07590485496475e-05,0.000254917453044883
3.8000000000000003,0.01,True,0.151694129773619,0.002247528320374285,9.019425170302002e-05,0.00025074260099772075
4.0,0.01,True,0.15207281892321795,0.002213446296910381,8.968047964129724e-05,0.0002469245382650224
4.2,0.01,True,0.15241830704759593,0.0021823523657163615,8.921108461863354e-05,0.00024341936834517024
4.4,0.01,True,0.15273479612599217,0.0021538683486607146,8.878053025739531e-05,0.00024019011285752635
4.6000000000000005,0.01,True,0.15302580509826477,0.0021276775411561703,8.838416781035624e-05,0.00023720540091456312
4.800000000000001,0.01,True,0.1532943036810544,0.0021035126687050996,8.801806454486533e-05,0.0002344384452885594
5.0,0.01,True,0.15354281582252644,0.002081146575972612,8.76788705751247e-05,0.00023186623483911956
5.2,0.01,True,0.15377350055915281,0.002060384949676241,8.736371442975433e-05,0.00022946889178135517
